area_type,availability,location,size,bhk,total_sqft,bath,balcony,price,
Super built-up  Area,Ready To Move,Singasandra,2 BHK,2,"1,010.00",2,1,29.5,
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,3,"1,425.00",2,1,70,
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,3,"1,450.00",3,0,100,
Super built-up  Area,Ready To Move,Kothanur,3 BHK,3,"1,847.00",3,2,105,
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,2,"1,100.00",2,3,45,
Super built-up  Area,20-Dec,Kanakpura Road,1 BHK,1,525.00,1,1,26,
Super built-up  Area,Ready To Move,Mallasandra,3 BHK,3,"1,665.00",3,2,95,
Super built-up  Area,Ready To Move,Begur,4 BHK,4,"1,664.00",4,3,65,
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,3,"1,850.00",3,3,150,
Super built-up  Area,Ready To Move,Panathur,2 BHK,2,"1,438.00",2,3,100,
Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3 BHK,3,"1,560.00",3,3,115,
Super built-up  Area,18-Apr,Yelahanka,2 BHK,2,"1,350.00",2,1,55.55,
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,3,"1,550.00",3,3,67,
Super built-up  Area,18-Apr,Malleshpalya,2 BHK,2,"1,140.00",2,2,46.5,
Plot  Area,Ready To Move,Srirampura,5 Bedroom,5,"1,200.00",5,2,180,
Super built-up  Area,18-Dec,Kodathi,2 BHK,2,850.00,2,2,27,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,"1,280.00",2,2,75,
Built-up  Area,Ready To Move,Munnekollal,2 BHK,2,"1,170.00",2,2,52,
Super built-up  Area,Ready To Move,Motappa Layout,2 BHK,2,"1,113.00",2,1,51,
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,2,"1,385.00",2,1,83.09,
Super built-up  Area,18-Apr,Electronic City,2 BHK,2,"1,128.00",2,1,65,
Plot  Area,Ready To Move,Marathahalli,2 Bedroom,2,"1,200.00",2,2,128,
Plot  Area,Ready To Move,Akshaya Vana,4 Bedroom,4,"1,200.00",4,3,165,
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,3,"2,390.00",3,2,415,
Plot  Area,Ready To Move,Giri Nagar,4 Bedroom,4,"2,400.00",4,1,400,
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,3,"1,464.00",3,2,56,
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,2,"1,200.00",2,2,55,
Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,2,"1,200.00",2,2,52,
Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,3,"1,150.00",2,1,55,
Built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,3,"1,645.00",3,2,95,
Super built-up  Area,20-Mar,Sarjapur  Road,2 BHK,2,"1,000.00",2,1,67,
Plot  Area,Ready To Move,Haralur Road,4 Bedroom,4,"2,650.00",4,2,198,
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,2,"1,192.00",2,2,74,
Super built-up  Area,Ready To Move,Ulsoor,3 BHK,3,"2,135.00",3,2,215,
Super built-up  Area,19-Dec,Whitefield,2 BHK,2,"1,173.00",2,1,58,
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,2,"1,020.00",2,2,45,
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,4,"3,122.00",6,2,230,
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,3,"1,600.00",3,3,64,
Plot  Area,18-Mar,T.C PALYA,2 Bedroom,2,"1,200.00",2,0,79,
Carpet  Area,Ready To Move,Muneshwara Nagar,2 BHK,2,"1,230.00",2,3,48,
Super built-up  Area,Ready To Move,Devarachikkanahalli,2 BHK,2,"1,250.00",2,2,40,
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,2,"1,325.00",2,2,76,
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,3,"1,850.00",3,1,150,
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,1,525.00,2,0,21.53,
Super built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,2,"1,200.00",2,2,65,
Plot  Area,Ready To Move,Bull Temple Road,3 Bedroom,3,"1,350.00",2,0,140,
Super built-up  Area,18-Jun,Bommasandra,3 BHK,3,"1,260.00",3,1,49.36,
Super built-up  Area,Ready To Move,Prashanth Nagar,3 BHK,3,"1,800.00",3,0,150,
Plot  Area,18-Dec,Suragajakkanahalli,3 Bedroom,3,11.00,3,2,74,
Built-up  Area,Ready To Move,Ardendale,2 BHK,2,"1,100.00",2,1,43.25,
Super built-up  Area,Ready To Move,Harlur,2 BHK,2,"1,508.00",2,1,77,
Carpet  Area,Ready To Move,Sampigehalli,3 BHK,3,"1,592.00",3,2,75,
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,2,"1,388.00",2,3,57,
Super built-up  Area,18-May,Electronic City Phase II,1 BHK,1,630.00,1,1,28.35,
Plot  Area,Ready To Move,RMV,3 Bedroom,3,"2,000.00",3,2,365,
Super built-up  Area,Ready To Move,Banashankari3rd stage bigbazar,3 BHK,3,"1,762.00",3,1,125,
Super built-up  Area,21-Dec,Bagalur Main Road,2 BHK,2,950.00,2,2,50,
Super built-up  Area,Ready To Move,Kodihalli,4 BHK,4,"3,252.00",5,3,335,
Super built-up  Area,18-Aug,Magadi Road,2 BHK,2,"1,116.00",2,1,50,
Super built-up  Area,Ready To Move,Narayanapura,2 BHK,2,"1,308.00",2,2,89.04,
Super built-up  Area,Ready To Move,MS Pallya,3 BHK,3,"1,200.00",3,0,90,
Plot  Area,Ready To Move,Binny Mills Employees Colony,4 Bedroom,4,"1,500.00",4,2,230,
Built-up  Area,Ready To Move,Bannerghatta Road,1 BHK,1,500.00,1,1,18.5,
Super built-up  Area,Ready To Move,Hennur,2 BHK,2,"1,075.00",2,1,52,
Super built-up  Area,18-Mar,Chandapura,1 BHK,1,530.00,1,0,11.66,
Built-up  Area,Ready To Move,Bellandur,2 BHK,2,"1,205.00",2,3,66,
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,2,"1,075.00",2,2,60,
Built-up  Area,Ready To Move,KR Puram,2 BHK,2,930.00,2,2,39,
Super built-up  Area,Ready To Move,Balagere,2 BHK,2,"1,380.00",2,1,60,
Super built-up  Area,Ready To Move,Hebbal,4 BHK,4,"2,483.00",5,2,212,
Built-up  Area,Ready To Move,Kodigehaali,2 BHK,2,"1,166.00",2,2,55,
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,2,"1,050.00",2,1,65,
Super built-up  Area,19-Mar,Gopalapura,3 BHK,3,"2,023.71",3,2,275,
Super built-up  Area,Ready To Move,Begur Road,2 BHK,2,"1,200.00",2,2,46.8,
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,3,"1,600.00",2,1,108,
Super built-up  Area,Ready To Move,Billekahalli,3 BHK,3,"1,935.00",3,2,110,
Super built-up  Area,18-May,8th Phase JP Nagar,1 BHK,1,451.00,1,0,29.9,
Super built-up  Area,Ready To Move,Electronic City,3 BHK,3,"1,800.00",3,2,95,
Super built-up  Area,18-May,Jalahalli,3 BHK,3,"1,400.00",3,0,77,
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,3,"1,801.00",3,2,115,
Built-up  Area,Ready To Move,Mahadevpura,2 BHK,2,"1,451.00",2,0,90,
Plot  Area,19-Jan,Anekal,2 Bedroom,2,"1,200.00",1,1,36,
Super built-up  Area,Ready To Move,Begur Road,2 BHK,2,"1,160.00",2,2,44,
Built-up  Area,Ready To Move,Kengeri,2 BHK,2,"1,000.00",2,1,25,
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,2,950.00,2,1,40,
Built-up  Area,20-Dec,"Hoodi Circle, ",3 BHK,3,"1,629.00",3,2,79,
Built-up  Area,Ready To Move,Vijayanagar,3 BHK,3,"1,580.00",2,0,134,
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,3,"1,826.00",3,2,121,
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,2,"1,245.00",2,1,94,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,"1,145.00",2,2,45.79,
Super built-up  Area,Ready To Move,Sompura,2 BHK,2,825.00,2,1,33,
Super built-up  Area,18-Aug,Yeshwanthpur,3 BHK,3,"1,693.00",3,3,108,
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,2,"1,113.27",2,2,53,
Built-up  Area,Ready To Move,Ashirvad Colony,2 BHK,2,"1,460.00",2,1,58,
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,2,"1,050.00",2,1,32,
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,2,"1,260.00",2,2,55,
Super built-up  Area,Ready To Move,K N Extension,6 BHK,6,700.00,3,0,120,
Built-up  Area,Ready To Move,Hosur Road,2 BHK,2,"1,656.00",2,1,120,
Super built-up  Area,Ready To Move,Chandapura,3 BHK,3,"1,208.00",3,1,45,
Super built-up  Area,Ready To Move,Whitefield,3 BHK,3,"1,910.00",3,2,161,
Super built-up  Area,Ready To Move,Whitefield,4 BHK,4,"3,252.00",4,1,230,
Plot  Area,Ready To Move,Battarahalli,2 Bedroom,2,"1,200.00",2,1,65,
Super built-up  Area,Ready To Move,Gokula Extension,4 BHK,4,"1,200.00",4,1,175,
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,2,"1,175.00",2,1,82,
Plot  Area,Ready To Move,Kamakshipalya,2 Bedroom,2,"1,000.00",2,0,165,
Plot  Area,Ready To Move,Bannerghatta Road,4 Bedroom,4,"1,200.00",2,0,125,
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,3,"2,390.00",3,2,410,
Super built-up  Area,19-Jan,Rajaji Nagar,7 BHK,7,"12,000.00",6,3,2200,
Plot  Area,Ready To Move,Sultan Palaya,2 Bedroom,2,550.00,1,1,62,
Super built-up  Area,Ready To Move,Kengeri,1 BHK,1,370.00,1,0,18.5,
Super built-up  Area,Ready To Move,Sanne Amanikere,2 BHK,2,"1,185.00",2,0,38,
Super built-up  Area,Ready To Move,Kengeri,2 BHK,2,750.00,2,1,38,
Plot  Area,Ready To Move,Mahalakshmi Layout,6 Bedroom,6,"1,200.00",7,3,250,
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,3,"1,550.00",3,3,64.5,
Built-up  Area,Ready To Move,Amco Colony,3 BHK,3,"1,760.00",3,2,88,
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,2,"1,125.00",2,2,62,
Plot  Area,Ready To Move,Nagarbhavi,3 Bedroom,3,"1,350.00",3,2,150,
Plot  Area,17-Dec,Anandapura,2 Bedroom,2,"1,000.00",2,1,55,
Built-up  Area,18-Aug,Bommasandra Industrial Area,2 BHK,2,"1,090.00",2,2,31.48,
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,2,"1,200.00",2,0,60,
Super built-up  Area,Ready To Move,Budigere,3 BHK,3,"1,991.00",4,2,103,
Super built-up  Area,18-Oct,Bommasandra,2 BHK,2,"1,060.00",2,1,26.5,
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,2,"1,105.00",2,1,75,
Built-up  Area,Ready To Move,Hoodi,2 BHK,2,985.00,2,2,67,
Plot  Area,Ready To Move,Chandapura,6 Bedroom,6,"1,533.00",5,3,85,
Super built-up  Area,17-Jul,Balagere,3 BHK,3,"1,590.00",3,2,79,
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,2,"1,120.00",2,2,55,
Super built-up  Area,Ready To Move,Samethanahalli,2 BHK,2,"1,069.00",2,1,55,
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,3,"1,933.00",3,2,140,
Built-up  Area,16-Mar,Hosur Road,2 BHK,2,"1,194.00",2,0,69,
Super built-up  Area,Ready To Move,Brookefield,2 BHK,2,"1,150.00",2,3,69,
Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,2,"1,240.00",2,2,47.12,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,"1,419.00",2,2,48.1,
Plot  Area,Ready To Move,7th Phase JP Nagar,8 Bedroom,8,"1,200.00",8,0,250,
Super built-up  Area,Ready To Move,Richmond Town,3 BHK,3,"2,150.00",4,0,240,
Super built-up  Area,Ready To Move,Suddaguntepalya,3 BHK,3,"1,450.00",3,2,55,
Super built-up  Area,18-Jul,Udayapur Village,3 BHK,3,"1,630.00",3,2,68.29,
Super built-up  Area,Ready To Move,Dasanapura,2 BHK,2,708.00,1,1,40,
Plot  Area,Ready To Move,Kasavanhalli,3 Bedroom,3,"1,000.00",4,3,110,
Plot  Area,Ready To Move,Whitefield,4 Bedroom,4,"11,890.00",4,3,700,
Super built-up  Area,Ready To Move,Bellandur,2 BHK,2,"1,250.00",2,1,76,
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,3,"1,400.00",2,1,95,
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,3,"1,670.00",2,3,57,
Super built-up  Area,Ready To Move,Ardendale,3 BHK,3,"1,750.00",3,2,100,
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,2,"1,404.00",2,1,71,
Super built-up  Area,Ready To Move,Hoodi,3 BHK,3,"1,715.00",2,2,95,
Built-up  Area,18-Apr,Electronic City,1 BHK,1,630.00,1,1,34.65,
Super built-up  Area,Ready To Move,Harlur,3 BHK,3,"1,752.12",3,2,135,
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,3,"1,650.00",3,2,78,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,"1,295.00",2,1,55.47,
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,3,"1,800.00",3,2,252,
Super built-up  Area,18-Sep,Sarjapur  Road,2 BHK,2,"1,346.00",2,1,74.03,
Plot  Area,Ready To Move,Thippasandra,4 Bedroom,4,"1,200.00",4,2,200,
Super built-up  Area,Ready To Move,Hormavu,2 BHK,2,"1,150.00",2,2,55,
Built-up  Area,Ready To Move,Chikkabidarakallu,4 Bedroom,4,"3,309.00",4,3,325,
Super built-up  Area,18-May,Chandapura,3 BHK,3,"1,190.00",2,2,30.35,
Super built-up  Area,Ready To Move,AECS Layout,3 BHK,3,"1,620.00",3,2,98,
Super built-up  Area,18-Apr,Marathahalli,2 BHK,2,950.00,2,1,46.96,
Super built-up  Area,Ready To Move,1 Giri Nagar,11 BHK,1,"5,000.00",9,3,360,
Super built-up  Area,Ready To Move,Harlur,3 BHK,3,"2,450.00",3,0,120,
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,3,"1,220.00",2,1,35.23,
Super built-up  Area,Ready To Move,Hoysalanagar,2 BHK,2,850.00,2,1,30,
Built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,2,"1,020.00",2,2,63,
Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,2,"1,100.00",2,2,50,
Super built-up  Area,Ready To Move,Defence Colony,2 BHK,2,"1,150.00",2,2,126,
Super built-up  Area,18-Dec,Hebbal,3 BHK,3,"1,760.00",2,2,130,
Super built-up  Area,Ready To Move,Ambalipura,3 BHK,3,"1,800.00",3,3,110,
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,2,"1,070.00",2,1,54,
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,4,"1,500.00",4,2,220,
Plot  Area,Ready To Move,Vidyaranyapura,2 Bedroom,2,"1,440.00",2,0,95,
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,2,900.00,2,1,40,
Built-up  Area,Ready To Move,ITI Employees Layout,4 BHK,4,"1,200.00",4,1,230,
Super built-up  Area,18-May,Whitefield,2 BHK,2,"1,130.00",2,1,42.16,
Super built-up  Area,Ready To Move,Koramangala,2 BHK,2,"1,320.00",2,1,165,
Super built-up  Area,19-Jun,Kodigehalli,2 BHK,2,"1,270.00",2,1,98,
Built-up  Area,Ready To Move,Patelappa Layout,2 BHK,2,"1,200.00",2,1,62,
Super built-up  Area,Ready To Move,Ring Road Nagarbhavi,4 BHK,4,"4,800.00",4,0,235,
Super built-up  Area,Ready To Move,NS Palya,2 BHK,2,"1,200.00",2,1,74,
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,2,929.00,2,0,50.17,
Built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,4,"1,150.00",4,2,260,
Plot  Area,Ready To Move,Basavangudi,4 Bedroom,4,"1,125.00",4,3,180,
Plot  Area,Ready To Move,Kenchenahalli,5 Bedroom,5,500.00,3,2,65,
Plot  Area,Ready To Move,3rd Block Hrbr Layout,5 Bedroom,5,"1,200.00",5,2,190,
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,3,"1,464.00",3,2,56,
Super built-up  Area,Ready To Move,7th Phase JP Nagar,4 BHK,4,"3,600.00",4,3,400,
Plot  Area,Ready To Move,Bank Avenue,4 Bedroom,4,"2,000.00",4,2,99,
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,2,"1,208.00",2,1,49,
Super built-up  Area,Ready To Move,Hebbal Kempapura,2 BHK,2,"1,130.00",2,2,60,
Super built-up  Area,Ready To Move,Surabhi Layout,3 BHK,3,"1,753.00",3,2,120,
Super built-up  Area,Ready To Move,Old Madras Road,5 BHK,5,"4,500.00",7,3,337,
Plot  Area,Ready To Move,Banjara Layout,3 Bedroom,3,600.00,3,2,58,
Super built-up  Area,22-Jun,Hoodi,2 BHK,2,"1,196.00",2,2,94.42,
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,2,"1,150.00",3,3,52.5,
Super built-up  Area,18-Apr,Electronic City,2 BHK,2,"1,128.00",2,1,63,
Super built-up  Area,Ready To Move,Omkar Nagar,2 BHK,2,"1,000.00",2,1,53,
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,2,"1,035.00",2,1,45,
Built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,2,950.00,2,1,32,
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,3,"1,075.00",2,1,36,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,"1,040.00",2,1,48.5,
Plot  Area,17-Oct,Maragondanahalli,2 Bedroom,2,720.00,2,1,45,
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,3,"1,511.00",3,1,95,
Built-up  Area,Ready To Move,Silk Board,3 BHK,3,"1,300.00",3,1,58,
Super built-up  Area,19-Dec,Hoodi,3 BHK,3,"1,545.00",3,1,68.75,
Built-up  Area,Ready To Move,Shampura,1 BHK,1,375.00,2,0,26,
Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,2,"1,062.00",2,3,38,
Super built-up  Area,Ready To Move,Kada Agrahara,2 BHK,2,"1,115.00",2,1,40,
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,2,"1,000.00",2,1,35,
Super built-up  Area,17-May,Kambipura,2 BHK,2,883.00,2,1,45,
Super built-up  Area,19-Apr,Sarjapur  Road,2 BHK,2,"1,195.00",2,1,70,
Plot  Area,Ready To Move,BHEL Layout,4 Bedroom,4,"1,200.00",3,1,165,
Built-up  Area,Ready To Move,Medahalli,1 Bedroom,1,700.00,1,0,41,
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,2,"1,246.00",2,1,67,
Plot  Area,Ready To Move,8th Phase JP Nagar,4 Bedroom,4,660.00,4,2,90,
Plot  Area,Ready To Move,Banashankari Stage III,4 Bedroom,4,"8,500.00",4,2,145,
Super built-up  Area,Ready To Move,Kashi Nagar,4 BHK,4,"1,600.00",4,1,80,
Super built-up  Area,18-Dec,Haralur Road,4 BHK,4,"2,805.00",5,3,154,
Super built-up  Area,Ready To Move,Begur Road,3 BHK,3,"1,584.00",3,0,65,
Plot  Area,Ready To Move,Sector 7 HSR Layout,4 Bedroom,4,"3,000.00",5,1,275,
Built-up  Area,Ready To Move,Hosur Road,3 BHK,3,"1,175.00",2,2,48,
Built-up  Area,19-Jul,"Yemlur, Old Airport Road, ",3 BHK,3,"1,595.00",3,2,115,
Super built-up  Area,Ready To Move,VHBCS Layout,2 BHK,2,"1,353.00",2,2,110,
Super built-up  Area,18-Apr,Electronic City,3 BHK,3,"1,599.00",3,2,125,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,"1,150.00",2,1,70,
Super built-up  Area,17-Dec,Jakkur,4 BHK,4,"5,230.00",6,1,465,
Super built-up  Area,Ready To Move,KR Puram,2 BHK,2,"1,155.00",2,2,42.74,
Built-up  Area,Ready To Move,Ittamadu,1 BHK,1,"1,200.00",2,0,85,
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,2,"1,000.00",2,1,25,
Super built-up  Area,Ready To Move,Thanisandra,4 BHK,4,"3,000.00",4,0,120,
Built-up  Area,Ready To Move,Rajiv Nagar,3 BHK,3,"1,867.00",3,1,160,
Super built-up  Area,18-Jun,Ramagondanahalli,2 BHK,2,"1,251.00",2,1,47,
Super built-up  Area,18-Apr,Gattahalli,2 BHK,2,"1,028.00",2,1,45.5,
Super built-up  Area,Ready To Move,Arekere,2 BHK,2,"1,222.00",2,2,45,
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,3,"1,170.00",2,1,66,
Super built-up  Area,Ready To Move,Hebbal,3 BHK,3,"2,400.00",4,1,245,
Super built-up  Area,Ready To Move,Ramanjaneyanagar,3 BHK,3,"1,385.00",2,2,48.48,
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,2,"1,372.00",2,1,68,
Super built-up  Area,Ready To Move,Magadi Road,3 BHK,3,"1,282.00",2,2,49,
Super built-up  Area,Ready To Move,Mico Layout,9 BHK,9,"5,000.00",9,3,210,
Built-up  Area,Ready To Move,7th Block Jayanagar,5 Bedroom,5,"3,000.00",3,1,528,
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,2,"1,135.00",2,1,39.73,
Built-up  Area,20-Dec,Whitefield,3 BHK,3,"1,768.00",3,2,101,
Built-up  Area,Ready To Move,Byatarayanapura,3 BHK,3,"1,325.00",2,1,90,
Super built-up  Area,18-Apr,Electronic City,3 BHK,3,"1,599.00",3,2,99,
Plot  Area,18-Mar,Whitefield,3 Bedroom,3,"1,500.00",3,1,61.95,
Plot  Area,Ready To Move,2nd Phase JP Nagar,3 Bedroom,3,"2,610.00",3,0,499,
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,2,"1,286.00",2,2,63,
Built-up  Area,Ready To Move,Kammanahalli,5 BHK,5,"2,845.00",5,1,140,
Super built-up  Area,Ready To Move,K G Colony,3 BHK,3,"1,600.00",2,0,50,
Super built-up  Area,18-Sep,Hennur Road,2 BHK,2,"1,317.50",2,0,63.77,
Super built-up  Area,Ready To Move,Hebbal,3 BHK,3,"3,450.00",5,2,260,
Super built-up  Area,18-Apr,Munnekollal,2 BHK,2,"1,102.00",2,2,53.67,
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,2,"1,350.00",2,2,54,
Super built-up  Area,Ready To Move,Banashankari,3 BHK,3,"1,200.00",2,2,42,
Plot  Area,Ready To Move,Hosa Road,6 Bedroom,6,"1,300.00",6,0,145,
Plot  Area,Ready To Move,Herohalli,2 Bedroom,2,"1,800.00",1,1,80,
Built-up  Area,Ready To Move,Chikkabanavar,2 BHK,2,950.00,2,1,40,
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,1,525.00,1,1,27.25,
Built-up  Area,Ready To Move,Attibele,2 BHK,2,656.00,2,1,25,
Plot  Area,Ready To Move,Marathahalli,4 Bedroom,4,"1,780.00",4,3,175,
Super built-up  Area,Ready To Move,3rd Block Hrbr Layout,2 BHK,2,"1,056.00",2,1,80,
Super built-up  Area,21-Feb,Bannerghatta Road,1 BHK,1,595.00,1,1,33.32,
Built-up  Area,Ready To Move,Ittamadu,2 BHK,2,"1,080.00",2,2,50,
Super built-up  Area,19-Dec,7th Phase JP Nagar,3 BHK,3,"2,225.00",3,1,160,
Super built-up  Area,18-Aug,Bommasandra,2 BHK,2,"1,126.00",2,1,28.15,
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,3,"1,490.00",3,1,84,
Plot  Area,Ready To Move,HRBR Layout,4 Bedroom,4,"2,000.00",4,1,300,
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,3,"1,550.00",3,3,100,
Super built-up  Area,Ready To Move,Other,3 BHK,3,"1,600.00",3,2,86,
Built-up  Area,Ready To Move,Ashwini layout,2 BHK,2,"1,160.00",2,1,55,
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,4,"4,144.00",4,3,315,
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,3,"2,100.00",3,2,125,
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,2,"1,404.00",2,1,69.3,
Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,4,"2,230.00",4,3,225,
Super built-up  Area,Ready To Move,Marathalli bridge,3 BHK,3,"1,544.00",3,0,120,
Super built-up  Area,18-May,Banashankari Stage III,3 BHK,3,"1,305.00",2,1,58.7,
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,2,"1,230.00",2,2,80,
Plot  Area,Ready To Move,T.C PALYA,2 Bedroom,2,"1,200.00",2,0,65,
Super built-up  Area,Ready To Move,Harlur,3 BHK,3,"1,460.00",3,1,73,
Plot  Area,Immediate Possession,Sarjapur  Road,,0,"1,800.00",2,0,34.185,
Built-up  Area,Ready To Move,Gottigere,2 BHK,2,967.00,2,3,45,
Built-up  Area,Ready To Move,Byatarayanapura,1 Bedroom,1,540.00,1,1,36,
Super built-up  Area,19-Dec,Hormavu,1 BHK,1,715.00,1,2,46,
Super built-up  Area,Ready To Move,Whitefield,3 BHK,3,"2,500.00",3,2,313,
Super built-up  Area,Ready To Move,Dooravani Nagar,3 BHK,3,"1,578.00",3,1,180,
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,2,"1,020.00",2,1,48.95,
Super built-up  Area,Ready To Move,Jigani,2 BHK,2,"1,020.00",2,1,40,
Super built-up  Area,Ready To Move,Koramangala,2 BHK,2,"1,253.00",2,1,102,
Super built-up  Area,Ready To Move,JCR Layout,2 BHK,2,"1,180.00",2,2,42,
Super built-up  Area,Ready To Move,Nehru Nagar,2 BHK,2,961.00,2,2,38,
Built-up  Area,Ready To Move,Kanakapura,3 BHK,3,"1,419.00",3,3,75,
Super built-up  Area,Ready To Move,Harlur,3 BHK,3,"1,709.00",3,2,150,
Plot  Area,Ready To Move,Papareddipalya,2 Bedroom,2,"1,600.00",2,0,115,
Super built-up  Area,18-Jul,Venkatapura,1 BHK,1,416.00,1,1,18.5,
Carpet  Area,Ready To Move,Sanjay nagar,2 BHK,2,"1,100.00",2,2,98,
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,3,"1,430.00",2,1,65,
Super built-up  Area,Ready To Move,Sneha Colony,2 BHK,2,"1,260.00",2,2,45,
Built-up  Area,Ready To Move,RMV Extension,3 BHK,3,"1,630.00",3,2,85,
Super built-up  Area,19-May,Sarjapur  Road,3 BHK,3,"1,249.00",3,2,44.71,
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,3,"1,450.00",2,3,85,
Super built-up  Area,17-Nov,Konanakunte,3 BHK,3,"2,791.00",3,1,223,
Super built-up  Area,Ready To Move,Hosapalya,1 BHK,1,600.00,1,0,90,
Built-up  Area,Ready To Move,Ashwini layout,1 BHK,1,834.00,1,1,60,
Plot  Area,Ready To Move,Doddagubbi,3 Bedroom,3,"1,125.00",4,1,70,
Super built-up  Area,Ready To Move,Arekere,3 BHK,3,"2,060.00",3,2,140,
Super built-up  Area,19-Jan,Malleshwaram,7 BHK,7,"12,000.00",7,3,2200,
